"predicted_y","frame_index","predicted_x"
3.5,5,-1.21124800916441
4,5,-1.74708854270894
-5,6,-1.85487613461711
-4.5,6,-1.74978602996001
-4,6,-1.65159861269891
-3.5,6,-1.55815485263187
-3,6,-1.46968307592098
-2.5,6,-1.38773766981837
-2,6,-1.31018537570973
-1.5,6,-1.23991904741025
-1,6,-1.1754369924562
-0.5,6,-1.12049359907802
0,6,-1.08087048822112
0.5,6,-1.05375225134834
1,6,-1.03951237289879
1.5,6,-1.03795233310729
2,6,-1.04903440298517
2.5,6,-1.07322425792222
3,6,-1.11030010577919
3.5,6,-1.16016246870372
4,6,-1.22271186884346
4.5,6,-1.24353968980805
-5,7,-1.86431482647695
-4.5,7,-1.75922472181985
-4,7,-1.66103730455875
-3.5,7,-1.56759354449171
-3,7,-1.47912176778082
-2.5,7,-1.39717636167821
-2,7,-1.31962406756957
-1.5,7,-1.24935773927009
-1,7,-1.18487568431604
-0.5,7,-1.12993229093786
0,7,-1.09030918008096
0.5,7,-1.06319094320818
1,7,-1.04895106475863
1.5,7,-1.04739102496713
2,7,-1.05847309484501
2.5,7,-1.08266294978206
3,7,-1.11973879763903
3.5,7,-1.16960116056356
4,7,-1.2321505607033
4.5,7,-1.25297838166789
-5,8,-1.87375351833678
-4.5,8,-1.76866341367968
-4,8,-1.67047599641858
-3.5,8,-1.57703223635154
-3,8,-1.48856045964065
-2.5,8,-1.40661505353804
-2,8,-1.3290627594294
-1.5,8,-1.25879643112992
-1,8,-1.19431437617587
-0.5,8,-1.13937098279769
0,8,-1.09974787194079
0.5,8,-1.07262963506801
1,8,-1.05838975661846
1.5,8,-1.05682971682696
2,8,-1.06791178670484
2.5,8,-1.09210164164189
3,8,-1.12917748949886
3.5,8,-1.17903985242339
4,8,-1.24158925256313
4.5,8,-1.26241707352772
-5,9,-1.88319221019662
-4.5,9,-1.77810210553952
-4,9,-1.67991468827842
-3.5,9,-1.58647092821138
-3,9,-1.49799915150049
-2.5,9,-1.41605374539788
-2,9,-1.33850145128924
-1.5,9,-1.26823512298976
-1,9,-1.20375306803571
-0.5,9,-1.14880967465753
0,9,-1.10918656380063
0.5,9,-1.08206832692785
1,9,-1.0678284484783
1.5,9,-1.0662684086868
2,9,-1.07735047856468
2.5,9,-1.10154033350173
3,9,-1.1386161813587
3.5,9,-1.18847854428323
4,9,-1.25102794442297
4.5,9,-1.27185576538756
5,9,-1.34220793791963
-5,10,-1.89263090205646
-4.5,10,-1.78754079739936
-4,10,-1.68935338013826
-3.5,10,-1.59590962007122
-3,10,-1.50743784336033
-2.5,10,-1.42549243725772
-2,10,-1.34794014314908
-1.5,10,-1.2776738148496
-1,10,-1.21319175989555
-0.5,10,-1.15824836651737
0,10,-1.11862525566047
0.5,10,-1.09150701878769
1,10,-1.07726714033814
1.5,10,-1.07570710054664
2,10,-1.08678917042452
2.5,10,-1.11097902536157
3,10,-1.14805487321854
3.5,10,-1.19791723614307
4,10,-1.26046663628281
4.5,10,-1.2812944572474
5,10,-1.35164662977947
-5.5,11,-2.0642580063878
-5,11,-1.9020695939163
-4.5,11,-1.7969794892592
-4,11,-1.6987920719981
-3.5,11,-1.60534831193106
-3,11,-1.51687653522017
-2.5,11,-1.43493112911756
-2,11,-1.35737883500892
-1.5,11,-1.28711250670944
-1,11,-1.22263045175539
-0.5,11,-1.16768705837721
0,11,-1.12806394752031
0.5,11,-1.10094571064753
1,11,-1.08670583219798
1.5,11,-1.08514579240648
2,11,-1.09622786228436
2.5,11,-1.12041771722141
3,11,-1.15749356507838
3.5,11,-1.20735592800291
4,11,-1.26990532814265
4.5,11,-1.29073314910724
5,11,-1.36108532163931
-6,12,-2.22140135650776
-5.5,12,-2.07369669824763
-5,12,-1.91150828577614
-4.5,12,-1.80641818111904
-4,12,-1.70823076385794
-3.5,12,-1.6147870037909
-3,12,-1.52631522708001
-2.5,12,-1.4443698209774
-2,12,-1.36681752686876
-1.5,12,-1.29655119856928
-1,12,-1.23206914361523
-0.5,12,-1.17712575023705
0,12,-1.13750263938015
0.5,12,-1.11038440250737
1,12,-1.09614452405782
1.5,12,-1.09458448426632
2,12,-1.1056665541442
2.5,12,-1.12985640908125
3,12,-1.16693225693822
3.5,12,-1.21679461986275
4,12,-1.27934402000249
4.5,12,-1.30017184096707
5,12,-1.37052401349915
-7,13,-2.55740034071532
-6.5,13,-2.38892836523688
-6,13,-2.2308400483676
-5.5,13,-2.08313539010747
-5,13,-1.92094697763597
-4.5,13,-1.81585687297887
-4,13,-1.71766945571777
-3.5,13,-1.62422569565073
-3,13,-1.53575391893984
-2.5,13,-1.45380851283723
-2,13,-1.37625621872859
-1.5,13,-1.30598989042911
-1,13,-1.24150783547506
-0.5,13,-1.18656444209688
0,13,-1.14694133123998
0.5,13,-1.1198230943672
1,13,-1.10558321591765
1.5,13,-1.10402317612615
2,13,-1.11510524600403
2.5,13,-1.13929510094108
3,13,-1.17637094879805
3.5,13,-1.22623331172258
4,13,-1.28878271186232
4.5,13,-1.30961053282691
5,13,-1.37996270535899
-7.5,14,-2.74569466666274
-7,14,-2.56683903257515
-6.5,14,-2.39836705709672
-6,14,-2.24027874022744
-5.5,14,-2.09257408196731
-5,14,-1.93038566949581
-4.5,14,-1.82529556483871
-4,14,-1.72710814757761
-3.5,14,-1.63366438751057
-3,14,-1.54519261079968
-2.5,14,-1.46324720469707
-2,14,-1.38569491058843
-1.5,14,-1.31542858228895
-1,14,-1.2509465273349
-0.5,14,-1.19600313395672
0,14,-1.15638002309982
0.5,14,-1.12926178622704
1,14,-1.11502190777749
1.5,14,-1.11346186798599
2,14,-1.12454393786387
2.5,14,-1.14873379280092
3,14,-1.18580964065789
3.5,14,-1.23567200358242
4,14,-1.29822140372216
4.5,14,-1.31904922468675
5,14,-1.38940139721882
-8,15,-2.94437265121932
-7.5,15,-2.75513335852258
-7,15,-2.57627772443499
-6.5,15,-2.40780574895656
-6,15,-2.24971743208728
-5.5,15,-2.10201277382715
-5,15,-1.93982436135565
-4.5,15,-1.83473425669855
-4,15,-1.73654683943745
-3.5,15,-1.64310307937041
-3,15,-1.55463130265952
-2.5,15,-1.47268589655691
-2,15,-1.39513360244827
-1.5,15,-1.32486727414879
-1,15,-1.26038521919474
-0.5,15,-1.20544182581656
0,15,-1.16581871495966
0.5,15,-1.13870047808688
1,15,-1.12446059963733
1.5,15,-1.12290055984583
2,15,-1.13398262972371
2.5,15,-1.15817248466076
3,15,-1.19524833251773
3.5,15,-1.24511069544226
4,15,-1.307660095582
4.5,15,-1.32848791654659
5,15,-1.39884008907866
-9,16,-3.36344090430009
-8.5,16,-3.15343429438505
-8,16,-2.95381134307916
-7.5,16,-2.76457205038242
-7,16,-2.58571641629483
-6.5,16,-2.4172444408164
-6,16,-2.25915612394711
-5.5,16,-2.11145146568699
-5,16,-1.94926305321549
-4.5,16,-1.84417294855839
-4,16,-1.74598553129729
-3.5,16,-1.65254177123025
-3,16,-1.56406999451936
-2.5,16,-1.48212458841675
-2,16,-1.40457229430811
-1.5,16,-1.33430596600863
-1,16,-1.26982391105458
-0.5,16,-1.2148805176764
0,16,-1.1752574068195
0.5,16,-1.14813916994672
1,16,-1.13389929149717
1.5,16,-1.13233925170567
2,16,-1.14342132158355
2.5,16,-1.1676111765206
3,16,-1.20468702437757
3.5,16,-1.2545493873021
4,16,-1.31709878744184
4.5,16,-1.33792660840643
5,16,-1.4082787809385
-9.5,17,-3.59326986468413
-9,17,-3.37287959615993
-8.5,17,-3.16287298624488
-8,17,-2.96325003493899
-7.5,17,-2.77401074224225
-7,17,-2.59515510815467
-6.5,17,-2.42668313267623
-6,17,-2.26859481580695
-5.5,17,-2.12089015754682
-5,17,-1.95870174507533
-4.5,17,-1.85361164041823
-4,17,-1.75542422315712
-3.5,17,-1.66198046309008
-3,17,-1.5735086863792
-2.5,17,-1.49156328027658
-2,17,-1.41401098616794
-1.5,17,-1.34374465786847
-1,17,-1.27926260291441
-0.5,17,-1.22431920953623
0,17,-1.18469609867934
0.5,17,-1.15757786180655
1,17,-1.143337983357
1.5,17,-1.14177794356551
2,17,-1.15286001344339
2.5,17,-1.17704986838043
3,17,-1.21412571623741
3.5,17,-1.26398807916194
4,17,-1.32653747930167
4.5,17,-1.34736530026626
5,17,-1.41771747279834
-10.5,18,-4.07464006941981
-10,18,-3.83348248367731
-9.5,18,-3.60270855654396
-9,18,-3.38231828801977
-8.5,18,-3.17231167810472
-8,18,-2.97268872679883
-7.5,18,-2.78344943410209
-7,18,-2.60459380001451
-6.5,18,-2.43612182453607
-6,18,-2.27803350766679
-5.5,18,-2.13032884940666
-5,18,-1.96814043693516
-4.5,18,-1.86305033227806
-4,18,-1.76486291501696
-3.5,18,-1.67141915494992
-3,18,-1.58294737823903
-2.5,18,-1.50100197213642
-2,18,-1.42344967802778
-1.5,18,-1.3531833497283
-1,18,-1.28870129477425
-0.5,18,-1.23375790139607
0,18,-1.19413479053917
0.5,18,-1.16701655366639
1,18,-1.15277667521684
1.5,18,-1.15121663542534
2,18,-1.16229870530322
2.5,18,-1.18648856024027
3,18,-1.22356440809724
3.5,18,-1.27342677102177
4,18,-1.33597617116151
4.5,18,-1.3568039921261
5,18,-1.42715616465818
-5.5,19,-2.1397675412665
-5,19,-1.977579128795
-4.5,19,-1.8724890241379
-4,19,-1.7743016068768
-3.5,19,-1.68085784680976
-3,19,-1.59238607009887
-2.5,19,-1.51044066399626
-2,19,-1.43288836988762
-1.5,19,-1.36262204158814
-1,19,-1.29813998663409
-0.5,19,-1.24319659325591
0,19,-1.20357348239901
0.5,19,-1.17645524552623
1,19,-1.16221536707668
1.5,19,-1.16065532728518
2,19,-1.17173739716306
2.5,19,-1.19592725210011
3,19,-1.23300309995708
3.5,19,-1.28286546288161
4,19,-1.34541486302135
4.5,19,-1.36624268398594
5,19,-1.43659485651801
-5.5,20,-2.14920623312634
-5,20,-1.98701782065484
-4.5,20,-1.88192771599774
-4,20,-1.78374029873664
-3.5,20,-1.6902965386696
-3,20,-1.60182476195871
-2.5,20,-1.5198793558561
-2,20,-1.44232706174746
-1.5,20,-1.37206073344798
-1,20,-1.30757867849393
-0.5,20,-1.25263528511575
0,20,-1.21301217425885
0.5,20,-1.18589393738607
1,20,-1.17165405893652
1.5,20,-1.17009401914502
2,20,-1.1811760890229
2.5,20,-1.20536594395995
3,20,-1.24244179181692
3.5,20,-1.29230415474145
4,20,-1.35485355488119
4.5,20,-1.37568137584578
5,20,-1.44603354837785
5.5,20,-1.52676937951908
-6,21,-2.3063495832463
-5.5,21,-2.15864492498618
-5,21,-1.99645651251468
-4.5,21,-1.89136640785758
-4,21,-1.79317899059648
-3.5,21,-1.69973523052944
-3,21,-1.61126345381855
-2.5,21,-1.52931804771594
-2,21,-1.4517657536073
-1.5,21,-1.38149942530782
-1,21,-1.31701737035377
-0.5,21,-1.26207397697559
0,21,-1.22245086611869
0.5,21,-1.19533262924591
1,21,-1.18109275079636
1.5,21,-1.17953271100486
2,21,-1.19061478088274
2.5,21,-1.21480463581979
3,21,-1.25188048367676
3.5,21,-1.30174284660129
4,21,-1.36429224674103
4.5,21,-1.38512006770562
5,21,-1.45547224023769
5.5,21,-1.53620807137891
-6,22,-2.31578827510614
-5.5,22,-2.16808361684601
-5,22,-2.00589520437451
-4.5,22,-1.90080509971741
-4,22,-1.80261768245631
-3.5,22,-1.70917392238927
-3,22,-1.62070214567838
-2.5,22,-1.53875673957577
-2,22,-1.46120444546713
-1.5,22,-1.39093811716765
-1,22,-1.3264560622136
-0.5,22,-1.27151266883542
0,22,-1.23188955797852
0.5,22,-1.20477132110574
1,22,-1.19053144265619
1.5,22,-1.18897140286469
2,22,-1.20005347274257
2.5,22,-1.22424332767962
3,22,-1.26131917553659
3.5,22,-1.31118153846112
4,22,-1.37373093860086
4.5,22,-1.39455875956545
5,22,-1.46491093209753
5.5,22,-1.54564676323875
6,22,-1.63676625298913
-6.5,23,-2.48331528383526
-6,23,-2.32522696696598
-5.5,23,-2.17752230870585
-5,23,-2.01533389623435
-4.5,23,-1.91024379157725
-4,23,-1.81205637431615
-3.5,23,-1.71861261424911
-3,23,-1.63014083753822
-2.5,23,-1.54819543143561
-2,23,-1.47064313732697
-1.5,23,-1.40037680902749
-1,23,-1.33589475407344
-0.5,23,-1.28095136069526
0,23,-1.24132824983836
0.5,23,-1.21421001296558
1,23,-1.19997013451603
1.5,23,-1.19841009472453
2,23,-1.20949216460241
2.5,23,-1.23368201953946
3,23,-1.27075786739643
3.5,23,-1.32062023032096
4,23,-1.3831696304607
4.5,23,-1.40399745142529
5,23,-1.47434962395736
5.5,23,-1.55508545509859
6,23,-1.64620494484897
6.5,23,-1.7477080932085
-6.5,24,-2.4927539756951
-6,24,-2.33466565882582
-5.5,24,-2.18696100056569
-5,24,-2.02477258809419
-4.5,24,-1.91968248343709
-4,24,-1.82149506617599
-3.5,24,-1.72805130610895
-3,24,-1.63957952939806
-2.5,24,-1.55763412329545
-2,24,-1.48008182918681
-1.5,24,-1.40981550088733
-1,24,-1.34533344593328
-0.5,24,-1.2903900525551
0,24,-1.2507669416982
0.5,24,-1.22364870482542
1,24,-1.20940882637587
1.5,24,-1.20784878658437
2,24,-1.21893085646225
2.5,24,-1.2431207113993
3,24,-1.28019655925627
3.5,24,-1.3300589221808
4,24,-1.39260832232054
4.5,24,-1.41343614328513
5,24,-1.4837883158172
5.5,24,-1.56452414695843
6,24,-1.65564363670881
6.5,24,-1.75714678506834
7,24,-1.86903359203702
-7,25,-2.67066464303337
-6.5,25,-2.50219266755494
-6,25,-2.34410435068566
-5.5,25,-2.19639969242553
-5,25,-2.03421127995403
-4.5,25,-1.92912117529693
-4,25,-1.83093375803583
-3.5,25,-1.73748999796879
-3,25,-1.6490182212579
-2.5,25,-1.56707281515529
-2,25,-1.48952052104665
-1.5,25,-1.41925419274717
-1,25,-1.35477213779312
-0.5,25,-1.29982874441494
0,25,-1.26020563355804
0.5,25,-1.23308739668526
1,25,-1.21884751823571
1.5,25,-1.21728747844421
2,25,-1.22836954832209
2.5,25,-1.25255940325914
3,25,-1.28963525111611
3.5,25,-1.33949761404064
4,25,-1.40204701418038
4.5,25,-1.42287483514497
5,25,-1.49322700767704
5.5,25,-1.57396283881827
6,25,-1.66508232856864
6.5,25,-1.76658547692818
7,25,-1.87847228389686
7.5,25,-2.00074274947469
-7,26,-2.68010333489321
-6.5,26,-2.51163135941478
-6,26,-2.35354304254549
-5.5,26,-2.20583838428536
-5,26,-2.04364997181387
-4.5,26,-1.93855986715677
-4,26,-1.84037244989567
-3.5,26,-1.74692868982863
-3,26,-1.65845691311774
-2.5,26,-1.57651150701513
-2,26,-1.49895921290649
-1.5,26,-1.42869288460701
-1,26,-1.36421082965296
-0.5,26,-1.30926743627478
0,26,-1.26964432541788
0.5,26,-1.2425260885451
1,26,-1.22828621009555
1.5,26,-1.22672617030405
2,26,-1.23780824018193
2.5,26,-1.26199809511898
3,26,-1.29907394297595
3.5,26,-1.34893630590048
4,26,-1.41148570604022
4.5,26,-1.43231352700481
5,26,-1.50266569953688
5.5,26,-1.5834015306781
6,26,-1.67452102042848
6.5,26,-1.77602416878801
7,26,-1.8879109757567
7.5,26,-2.01018144133453
-7.5,27,-2.86839766084063
-7,27,-2.68954202675305
-6.5,27,-2.52107005127461
-6,27,-2.36298173440533
-5.5,27,-2.2152770761452
-5,27,-2.0530886636737
-4.5,27,-1.9479985590166
-4,27,-1.8498111417555
-3.5,27,-1.75636738168846
-3,27,-1.66789560497757
-2.5,27,-1.58595019887496
-2,27,-1.50839790476632
-1.5,27,-1.43813157646684
-1,27,-1.37364952151279
-0.5,27,-1.31870612813461
0,27,-1.27908301727771
0.5,27,-1.25196478040493
1,27,-1.23772490195538
1.5,27,-1.23616486216388
2,27,-1.24724693204176
2.5,27,-1.27143678697881
3,27,-1.30851263483578
3.5,27,-1.35837499776031
4,27,-1.42092439790005
4.5,27,-1.44175221886464
5,27,-1.51210439139672
5.5,27,-1.59284022253794
6,27,-1.68395971228832
6.5,27,-1.78546286064785
7,27,-1.89734966761653
7.5,27,-2.01962013319437
8,27,-2.15227425738136
-7.5,28,-2.87783635270047
-7,28,-2.69898071861289
-6.5,28,-2.53050874313445
-6,28,-2.37242042626517
-5.5,28,-2.22471576800504
-5,28,-2.06252735553354
-4.5,28,-1.95743725087644
-4,28,-1.85924983361534
-3.5,28,-1.7658060735483
-3,28,-1.67733429683741
-2.5,28,-1.5953888907348
-2,28,-1.51783659662616
-1.5,28,-1.44757026832668
-1,28,-1.38308821337263
-0.5,28,-1.32814481999445
0,28,-1.28852170913755
0.5,28,-1.26140347226477
1,28,-1.24716359381522
1.5,28,-1.24560355402372
2,28,-1.2566856239016
2.5,28,-1.28087547883865
3,28,-1.31795132669562
3.5,28,-1.36781368962015
4,28,-1.43036308975989
4.5,28,-1.45119091072448
5,28,-1.52154308325655
-8,29,-3.07651433725705
-7.5,29,-2.88727504456031
-7,29,-2.70841941047272
-6.5,29,-2.53994743499429
-6,29,-2.38185911812501
-5.5,29,-2.23415445986488
-5,29,-2.07196604739338
-4.5,29,-1.96687594273628
-4,29,-1.86868852547518
-3.5,29,-1.77524476540814
-3,29,-1.68677298869725
-2.5,29,-1.60482758259464
-2,29,-1.527275288486
-1.5,29,-1.45700896018652
-1,29,-1.39252690523247
-0.5,29,-1.33758351185429
0,29,-1.29796040099739
0.5,29,-1.27084216412461
1,29,-1.25660228567506
1.5,29,-1.25504224588356
2,29,-1.26612431576144
2.5,29,-1.29031417069849
3,29,-1.32739001855546
3.5,29,-1.37725238147999
4,29,-1.43980178161973
4.5,29,-1.46062960258432
5,29,-1.53098177511639
-8.5,30,-3.28557598042278
-8,30,-3.08595302911689
-7.5,30,-2.89671373642015
-7,30,-2.71785810233256
-6.5,30,-2.54938612685413
-6,30,-2.39129780998485
-5.5,30,-2.24359315172472
-5,30,-2.08140473925322
-4.5,30,-1.97631463459612
-4,30,-1.87812721733502
-3.5,30,-1.78468345726798
-3,30,-1.69621168055709
-2.5,30,-1.61426627445448
-2,30,-1.53671398034584
-1.5,30,-1.46644765204636
-1,30,-1.40196559709231
-0.5,30,-1.34702220371413
0,30,-1.30739909285723
0.5,30,-1.28028085598445
1,30,-1.2660409775349
1.5,30,-1.2644809377434
2,30,-1.27556300762128
2.5,30,-1.29975286255833
3,30,-1.3368287104153
3.5,30,-1.38669107333983
4,30,-1.44924047347957
4.5,30,-1.47006829444416
5,30,-1.54042046697623
-9,31,-3.50502128219766
-8.5,31,-3.29501467228262
-8,31,-3.09539172097672
-7.5,31,-2.90615242827999
-7,31,-2.7272967941924
-6.5,31,-2.55882481871396
-6,31,-2.40073650184468
-5.5,31,-2.25303184358455
-5,31,-2.09084343111306
-4.5,31,-1.98575332645596
-4,31,-1.88756590919486
-3.5,31,-1.79412214912782
-3,31,-1.70565037241693
-2.5,31,-1.62370496631432
-2,31,-1.54615267220568
-1.5,31,-1.4758863439062
-1,31,-1.41140428895215
-0.5,31,-1.35646089557397
0,31,-1.31683778471707
0.5,31,-1.28971954784429
1,31,-1.27547966939474
1.5,31,-1.27391962960324
2,31,-1.28500169948112
2.5,31,-1.30919155441817
3,31,-1.34626740227514
3.5,31,-1.39612976519967
4,31,-1.45867916533941
4.5,31,-1.479506986304
5,31,-1.54985915883607
-9,32,-3.5144599740575
-8.5,32,-3.30445336414245
-8,32,-3.10483041283656
-7.5,32,-2.91559112013982
-7,32,-2.73673548605224
-6.5,32,-2.5682635105738
-6,32,-2.41017519370452
-5.5,32,-2.26247053544439
-5,32,-2.10028212297289
-4.5,32,-1.99519201831579
-4,32,-1.89700460105469
-3.5,32,-1.80356084098765
-3,32,-1.71508906427676
-2.5,32,-1.63314365817415
-2,32,-1.55559136406551
-1.5,32,-1.48532503576603
-1,32,-1.42084298081198
-0.5,32,-1.3658995874338
0,32,-1.3262764765769
0.5,32,-1.29915823970412
1,32,-1.28491836125457
1.5,32,-1.28335832146307
2,32,-1.29444039134095
2.5,32,-1.318630246278
3,32,-1.35570609413497
3.5,32,-1.4055684570595
4,32,-1.46811785719924
4.5,32,-1.48894567816383
5,32,-1.55929785069591
-9.5,33,-3.74428893444153
-9,33,-3.52389866591734
-8.5,33,-3.31389205600229
-8,33,-3.1142691046964
-7.5,33,-2.92502981199966
-7,33,-2.74617417791208
-6.5,33,-2.57770220243364
-6,33,-2.41961388556436
-5.5,33,-2.27190922730423
-5,33,-2.10972081483273
-4.5,33,-2.00463071017563
-4,33,-1.90644329291453
-3.5,33,-1.81299953284749
-3,33,-1.7245277561366
-2.5,33,-1.64258235003399
-2,33,-1.56503005592535
-1.5,33,-1.49476372762587
-1,33,-1.43028167267182
-0.5,33,-1.37533827929364
0,33,-1.33571516843674
0.5,33,-1.30859693156396
1,33,-1.29435705311441
1.5,33,-1.29279701332291
2,33,-1.30387908320079
2.5,33,-1.32806893813784
3,33,-1.36514478599481
3.5,33,-1.41500714891934
4,33,-1.47755654905908
4.5,33,-1.49838437002367
5,33,-1.56873654255574
-10,34,-3.98450155343472
-9.5,34,-3.75372762630137
-9,34,-3.53333735777717
-8.5,34,-3.32333074786213
-8,34,-3.12370779655624
-7.5,34,-2.9344685038595
-7,34,-2.75561286977191
-6.5,34,-2.58714089429348
-6,34,-2.4290525774242
-5.5,34,-2.28134791916407
-5,34,-2.11915950669257
-4.5,34,-2.01406940203547
-4,34,-1.91588198477437
-3.5,34,-1.82243822470733
-3,34,-1.73396644799644
-2.5,34,-1.65202104189383
-2,34,-1.57446874778519
-1.5,34,-1.50420241948571
-1,34,-1.43972036453166
-0.5,34,-1.38477697115348
0,34,-1.34515386029658
0.5,34,-1.3180356234238
1,34,-1.30379574497425
1.5,34,-1.30223570518275
2,34,-1.31331777506063
2.5,34,-1.33750762999768
3,34,-1.37458347785465
3.5,34,-1.42444584077918
4,34,-1.48699524091892
4.5,34,-1.50782306188351
5,34,-1.57817523441558
-10,35,-3.99394024529456
-9.5,35,-3.76316631816121
-9,35,-3.54277604963701
-8.5,35,-3.33276943972197
-8,35,-3.13314648841608
-7.5,35,-2.94390719571934
-7,35,-2.76505156163175
-6.5,35,-2.59657958615332
-6,35,-2.43849126928404
-5.5,35,-2.29078661102391
-5,35,-2.12859819855241
-4.5,35,-2.02350809389531
-4,35,-1.92532067663421
-3.5,35,-1.83187691656717
-3,35,-1.74340513985628
-2.5,35,-1.66145973375367
-2,35,-1.58390743964503
-1.5,35,-1.51364111134555
-1,35,-1.4491590563915
-0.5,35,-1.39421566301332
0,35,-1.35459255215642
0.5,35,-1.32747431528364
1,35,-1.31323443683409
1.5,35,-1.31167439704259
2,35,-1.32275646692047
2.5,35,-1.34694632185752
3,35,-1.38402216971449
3.5,35,-1.43388453263902
4,35,-1.49643393277876
4.5,35,-1.51726175374335
5,35,-1.58761392627542
-10.5,36,-4.2445365228969
-10,36,-4.00337893715439
-9.5,36,-3.77260501002105
-9,36,-3.55221474149685
-8.5,36,-3.34220813158181
-8,36,-3.14258518027591
-7.5,36,-2.95334588757918
-7,36,-2.77449025349159
-6.5,36,-2.60601827801315
-6,36,-2.44792996114387
-5.5,36,-2.30022530288374
-5,36,-2.13803689041225
-4.5,36,-2.03294678575515
-4,36,-1.93475936849405
-3.5,36,-1.84131560842701
-3,36,-1.75284383171612
-2.5,36,-1.67089842561351
-2,36,-1.59334613150487
-1.5,36,-1.52307980320539
-1,36,-1.45859774825134
-0.5,36,-1.40365435487316
0,36,-1.36403124401626
0.5,36,-1.33691300714348
1,36,-1.32267312869393
1.5,36,-1.32111308890243
2,36,-1.33219515878031
2.5,36,-1.35638501371736
3,36,-1.39346086157433
3.5,36,-1.44332322449886
4,36,-1.5058726246386
4.5,36,-1.52670044560318
-2.5,37,-1.68033711747334
-2,37,-1.6027848233647
-1.5,37,-1.53251849506522
-1,37,-1.46803644011117
-0.5,37,-1.41309304673299
0,37,-1.37346993587609
0.5,37,-1.34635169900331
1,37,-1.33211182055376
1.5,37,-1.33055178076226
2,37,-1.34163385064014
2.5,37,-1.36582370557719
3,37,-1.40289955343416
3.5,37,-1.45276191635869
4,37,-1.51531131649843
4.5,37,-1.53613913746302
-2.5,38,-1.68977580933318
-2,38,-1.61222351522454
-1.5,38,-1.54195718692506
-1,38,-1.47747513197101
-0.5,38,-1.42253173859283
0,38,-1.38290862773593
0.5,38,-1.35579039086315
1,38,-1.3415505124136
1.5,38,-1.3399904726221
2,38,-1.35107254249998
2.5,38,-1.37526239743703
3,38,-1.412338245294
3.5,38,-1.46220060821853
4,38,-1.52475000835827
4.5,38,-1.54557782932286
-2.5,39,-1.69921450119302
-2,39,-1.62166220708438
-1.5,39,-1.5513958787849
-1,39,-1.48691382383085
-0.5,39,-1.43197043045267
0,39,-1.39234731959577
0.5,39,-1.36522908272299
1,39,-1.35098920427344
1.5,39,-1.34942916448194
2,39,-1.36051123435982
2.5,39,-1.38470108929687
3,39,-1.42177693715384
3.5,39,-1.47163930007837
4,39,-1.53418870021811
4.5,39,-1.5550165211827
-3,40,-1.79059859915547
-2.5,40,-1.70865319305286
-2,40,-1.63110089894422
-1.5,40,-1.56083457064474
-1,40,-1.49635251569069
